"line_no","images","doc_no","type","date","place","#no longer used#","names_int","names_comp"
8035,"CH_Bm_prg-1794",471,"Concert","19690509","Basel, Hans Huber-Saal des Stadtcasinos Basel","Leonhardt Consort, Amsterdam","Leonhardt, Gustav","Purcell, Henry"
8036,"CH_Bm_prg-1795",,,,,,"Leonhardt, Marie","Hacquart, Carolus"
8037,"CH_Bm_prg-1796",,,,,,"Hombergh, Antoinette van den","Marini, Biagio"
8038,,,,,,,"Have, Wim ten","Biber, Heinrich Ignaz Franz von"
8039,,,,,,,"Boer, Lodewijk de","Muffat, Georg"
8040,,,,,,,"Koster, Dijk","Bach, Johann Sebastian"
8041,"CH_Bm_prg-3027","472","Season","20170926","Basel, Peterskirche","Ensemble Le miroir de musique","Lutzenberger, Sabine","Lantins, Arnold de"
8042,"CH_Bm_prg-3028",,,,,,"Miller, Tobie","Lantins, Hugo de"
8043,"CH_Bm_prg-3029",,,,,,"Fröhlich, Bernd Oliver",
8044,"CH_Bm_prg-3030",,,,,,"Schulz, Achim",
8045,"CH_Bm_prg-3031",,,,,,"Piganio, Claire",
8046,"CH_Bm_prg-3032",,,,,,"Rumsey, Elizabeth",
8047,"CH_Bm_prg-3033",,,,,,"Lewon, Marc",
8048,"CH_Bm_prg-3034",,,,,,"Romain, Baptiste",
8049,"CH_Bm_prg-3035",,,"20171107","Basel, Predigerkirche","Ensemble Micrologus","Bovi, Patrizia",
8050,"CH_Bm_prg-3036",,,,,,"Montilla, Andres",
8051,"CH_Bm_prg-3037",,,,,,"Sorini, Simone",
8052,"CH_Bm_prg-3038",,,,,,"Sorini, Enea",
8053,"CH_Bm_prg-3039",,,,,,"Degli Esposti, Goffredo",
8054,"CH_Bm_prg-3040",,,,,,"Russo, Gabriele",
8055,"CH_Bm_prg-3041",,,,,,"Art, Masako",
8056,"CH_Bm_prg-3042",,,,,,"La Marca, Gianni",
8057,"CH_Bm_prg-3043",,,,,,"Miracle, Gabriele",
8058,"CH_Bm_prg-3044",,,,,,"Young, Crawford",
8059,"CH_Bm_prg-3045",,,"20171203","Basel, Grosser Saal der Musik-Akademie",,"Baù, Teodoro","Forqueray, Jean-Baptiste"
8060,"CH_Bm_prg-3046",,,,,,"Bortolotto, Leonardo","Forqueray, Antoine"
8061,"CH_Bm_prg-3047",,,,,,"Buccarella, Andrea","Corelli, Arcangelo"
8062,"CH_Bm_prg-3048",,,,,,"Duncumb, Jadran","Duphly, Jacques"
8063,"CH_Bm_prg-3049",,,"20180107","Basel, Allgemeine Lesegesellschaft","Domus Artis Ensemble","Keller, Johannes","Rossi, Michelangelo"
8064,"CH_Bm_prg-3050",,,"20180108",,,"Menconi, Florencia",
8065,"CH_Bm_prg-3051",,,,,,"Mentes, Dániel",
8066,"CH_Bm_prg-3052",,,,,,"Quinderé, Breno",
8067,"CH_Bm_prg-3053",,,,,,"Szántó, Csongor",
8068,"CH_Bm_prg-3054",,,,,,"Haun de Oliveira, Ivo",
8069,"CH_Bm_prg-3055",,,,,,"Kleine, Michael",
8070,,,,"20180127","Basel, Leonhardskirche","Schola Cantorum Basiliensis, Solisten, Studierende und Dozierende","Sepúlveda, Carlos Federico","Senfl, Ludwig"
8071,,,,,,,"Türk, Gerd",
8072,,,,,,,"Steinmann, Conrad",
8073,,,,"20180306","Basel, Leonhardskirche",,"Mauillon, Marc","Monteverdi, Claudio"
8074,,,,,,,"Heumann, Friederike","Ferrari, Benedetto"
8075,,,,,,,"Mauillon, Angélique","Le Camus, Sébastien"
8076,,,,,,,,"Moulinié, Étienne"
8077,,,,"20180408","Basel, Martinskirche",,"Nikitassova, Plamena",
8078,,,,,,,"Behr, Julian",
8079,,,,,,,"Müller, Matthias",
8080,,,,,,,"Bötticher, Jörg-Andreas",
8081,,,,"20180524","Basel, Scala","Ad fontes","Freyburger, Aude","Purcell, Henry"
8082,,,,"20180525",,"Chorea Basileae","Ferri-Benedetti, Flavio","Marais, Marin"
8083,,,,,,,"Dunkelblum, Dan","Vivaldi, Antonio"
8084,,,,,,,"Akhmetov, Andrey","Leininger, Thomas"
8085,,,,,,,"Grässle, Philipp","Charaf, Bardia"
8086,,,,,,,"Weller, Sharon",
8087,,,,,,,"Heiter, Berenike",
8088,,,,,,,"Gal, Mojca",
8089,,,,"20180620","Basel, Martinskirche","Les Cornets noirs","Friedrich, Wolf Matthias","Marini, Biagio"
8090,,,,,,,"Beyer, Amandine","Peranda, Giuseppe"
8091,,,,,,,"Stawiarski, Cosimo","Bertali, Antonio"
8092,,,,,,,"Smith, Bork-Frithjof","Schütz, Heinrich"
8093,,,,,,,"David, Gebhard","Reina, Sisto"
8094,,,,,,,"Mechelen, Simen van","Gletle, Johann Melchior"
8095,,,,,,,"Wiegräbe, Henning",
8096,,,,,,,"Reimers, Detlef",
8097,,,,,,,"Günther, Fernando",
8098,,,,,,,"Sepec, Patrick",
8099,,,,,,,"Spaeter, Matthias",
8100,,,,,,,"Strobl, Johannes",
8101,"CH_Bm_prg-3056","473","Concert","20161026","Basel, Martinskirche","Ensemble Lucidarium","Fink, Enrico","Bottegari, Cosimo"
8102,"CH_Bm_prg-3057",,,,,,"Moretti, Gloria","Anonymus"
8103,"CH_Bm_prg-3058",,,,,,"Capurso, Anna Pia","Heckel, Wolff"
8104,"CH_Bm_prg-3059",,,,,,"Leibovici, Lior","Pisador, Diego"
8105,"CH_Bm_prg-3060",,,,,,"Marcelli, Simone","Nola, Giovanni Domenico da"
8106,"CH_Bm_prg-3061",,,,,,"Gosfield, Avery","Novello, Lodovico"
8107,"CH_Bm_prg-3062",,,,,,"Ferrari, Marco","Tromboncino, Bartolomeo"
8108,"CH_Bm_prg-3063",,,,,,"Biggi, Francis","Dammonis, Innocentius"
8109,"CH_Bm_prg-3064",,,,,,"Dragoni, Massimiliano","Pesenti, Martino"
8110,"CH_Bm_prg-3065",,,,,,"Poirier, Éloise","Tromboncino, Bartolomeo"
8111,"CH_Bm_prg-3066",,,,,,"Lesne, Amandine","Cara, Marchetto"
8112,"CH_Bm_prg-3067",,,,,,"Fabiani, Silvia","Dalza, Joan Ambrosio"
8113,"CH_Bm_prg-3068",,,,,,"Ensemble Lucidarium","Hainhofer, Philipp"
8114,"CH_Bm_prg-3069",,,,,,,
8115,"CH_Bm_prg-3070",,,,,,,
8116,"CH_Bm_prg-3071",,,,,,,
8117,"CH_Bm_prg-3072",,,,,,,
8118,"CH_Bm_prg-3073",,,,,,,
8119,"CH_Bm_prg-3074",,,,,,,
8120,"CH_Bm_prg-3075",,,,,,,
8121,"CH_Bm_prg-3076",,,,,,,
8122,"CH_Bm_prg-3077",,,,,,,
8123,"CH_Bm_prg-3078",,,,,,,
