,
,
"Aarsen, Jan","Aarsen, Jan"
"Abrezol, Raymond","Abrezol, Raymond"
Absil,"Absil, Jean"
"Absil, J.","Absil, Jean"
"Absil, Jean","Absil, Jean"
"Achatz, Dag","Achatz, Dag"
"Ackermann, Bruno","Ackermann, Bruno"
"Ackermann, Jean-René","Ackermann, Jean-René"
"Ackermann, Richard","Ackermann, Richard"
"Ackermann, Richard","Ackermann, Richard"
Adair,"Adair, Yvonne"
"Adair, Y.","Adair, Yvonne"
"Adam, Adolphe","Adam, Adolphe"
"Addor, Antonin","Addor, Antonin"
"Adler, Georges","Adler, Georges"
"Adni, Daniel","Adni, Daniel"
"Ador, Antonin","Ador, Antonin"
"Adson, John","Adson, John"
"Aeberhard, Marianne","Aeberhard, Marianne"
"Aegerter, Pierre","Aegerter, Pierre"
"Aegerter, Sébastien","Aegerter, Sébastien"
"Aellen-Vetsch, Elsy","Aellen-Vetsch, Elsy"
"Aeschbach, Sarah","Aeschbach, Sarah"
"Aeschlimann, Charles","Aeschlimann, Charles"
"Agazzi, Giorgio","Agazzi, Giorgio"
"Ager, Klaus","Ager, Klaus"
"Agostini, L.","Agostini, Lodovico"
"Akerlund, Lina Maria","Akerlund, Lina Maria"
"Alain, J.","Alain, Jehan"
"Alain, Jehan","Alain, Jehan"
Alary,Alary
Albeniz,"Albéniz, Isaac"
"Albeniz, I.","Albéniz, Isaac"
"Albeniz, Isaac","Albéniz, Isaac"
"Albert, François d'","Albert, François d'"
"Alberti, Domenico","Alberti, Domenico"
"Albinoni, Tomaso","Albinoni, Tomaso Giovanni"
"Albrespic, J.","Albrespic, Jacques"
Albéniz,"Albéniz, Isaac"
"Albéniz, Isaac","Albéniz, Isaac"
"Albéniz, Mateo","Albéniz, Mateo (Antonio) Pérez de"
"Albéra, Philippe","Albéra, Philippe"
"Alessandro, R. d'","Alessandro, Raffaele d'"
"Alexandre, Tansman","Alexandre, Tansman"
"Alfidi, Joseph","Alfidi, Joseph"
Alix,"Alix, May Liza Mae"
"Allain, Marcel","Allain, Marcel"
"Allender, June","Allender, June"
Allix,"Allix, Paul"
"Allix, Paul","Allix, Paul"
"Alt, Bernard","Alt, Bernard"
"Altmeyer, Lisel","Altmeyer, Lisel"
"Altwegg, Raphaele","Altwegg, Raphaele"
"Alvarez, Olivier","Alvarez, Olivier"
Amalie von Preussen,Amalie von Preussen
"Ameller, A.","Ameller, André"
"Amman, Jean-Pierre","Amann, Jean-Pierre"
"Amoyal, Pierre","Amoyal, Pierre"
"Amrein, Marianne","Amrein, Marianne"
"Anderes, Cornel","Anderes, Cornel"
Andersen,"Andersen, Hans Christian"
"Andersen, Diane","Andersen, Diane"
"Andreae, Volkmar","Andreae, Volkmar"
"Andres, Bernard","Andrès, Bernard"
"Andres, Laura","Andres, Laura"
"Andrès, Bernard","Andrès, Bernard"
André,André
"André, J. A.","André, J. A."
"André, J.-A.","André, J. A."
"André, J.A.","André, J. A."
"Anet, Denise","Anet, Denise"
Angerer,"Angerer, Paul"
"Anglebert, Jean Henry d'","D'Anglebert, Jean Henry"
"Anido, M. L.","Anido, María Luisa"
"Anido, Maria L.","Anido, María Luisa"
