line_no,image file,doc_no,type,date,place,shelfmark,names_int,names_comp,image no.
1,pyr_005,001,Concert,18070306,"Luzern, Theater",BRb.27.2,,"Mozart, Wolfgang Amadeus",
2,pyr_006,,,,,,,"Haydn, Joseph",
3,pyr_007,,,,,,,"Bühler, Franz",
4,pyr_008,002,Concert,18070313,Luzern,BRb.27.2,,"Wranitzky, Anton",
5,pyr_009,,,,,,,"Haydn, Joseph",
6,pyr_010,,,,,,,"Mozart, Wolfgang Amadeus",
7,,,,,,,,"Gyrowetz, Adalbert",
8,pyr_011,003,Concert,18070322,,BRb.27.2,Schleicher,"Gyrowetz, Adalbert",
9,pyr_012,,,,,,Schleicher (Mlle),"Winter, Peter von",
10,,,,,,,,"Haydn, Joseph",
11,pyr_016,004,Concert,18090310,"Luzern, Gesellschaftshaus zu Schützen",BRb.27.2,,"Mozart, Wolfgang Amadeus",
12,,,,,,,,"Rode, Pierre",
13,,,,,,,,"Steibelt, Daniel Gottlieb",
14,,,,,,,,"Weigl, Joseph",
15,,,,,,,,"Dussek, Jan Ladislav",
16,pyr_017,005,Concert,18090514,Luzern,BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Kreutzer, Conradin",
17,pyr_022,006,Concert,18120426,Luzern,BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Dalayrac, Nicolas-Marie",
18,pyr_023,007,Concert,18121112,Luzern,BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern",Anonymus,
19,pyr_024,,,,,,,,
20,pyr_025,008,Concert,18130312,"Luzern, Gesellschaftshaus zu Schützen",BRb.27.2,,"Haydn, Joseph",
21,pyr_026,,,,,,,"Paër, Ferdinando",
22,pyr_027,,,,,,,"Clementi, Muzio",
23,,,,,,,,"Krommer, Franz",
24,,,,,,,,"Himmel, Friedrich Heinrich",
25,pyr_038,009,Concert,18170209,Luzern,BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Mozart, Wolfgang Amadeus",
26,pyr_039,,,,,,,,
27,pyr_040,,,,,,,,
28,pyr_041,010,Concert,18170520,"Luzern, Marianischer Saal im Jesuitengymnasium",BRb.27.2,"Gesellschaft für Musik und Deklamation, Luzern","Haydn, Joseph",
29,pyr_042,,,,,,,"Nägeli, Hans Georg",
30,pyr_043,,,,,,,"Taubert, Johann Friedrich",
31,pyr_044,,,,,,,"Bergt, Christian Gottlob August",
32,pyr_045,011,Concert,18181222,"Luzern, Theater",BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Dalayrac, Nicolas-Marie",
33,pyr_046,,,,,,,,
34,pyr_047,,,,,,,,
35,pyr_051,012,Concert,18220207,Luzern,BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern",Anonymus,
36,pyr_052,,,,,,,,
37,pyr_054,013,Concert,18260711,"Luzern, Marianischer Saal im Jesuitengymnasium",BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Beethoven, Ludwig van",
38,pyr_055,,,,,,,"Maurer, Franz Anton",
39,pyr_056,,,,,,,"Kreutzer, Conradin",
40,,,,,,,,"Weber, Carl Maria von",
41,pyr_060,014,Concert,18270604,Luzern,BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Weber, Bernhard Anselm",
42,pyr_062,015,Concert,18280118,"Luzern, Marianischer Saal im Jesuitengymnasium",BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Ries, Ferdinand",
43,,,,,,,,"Rossini, Gioachino",
44,,,,,,,,"Krommer, Franz",
45,,,,,,,,"Stuntz, Joseph Hartmann",
46,,,,,,,,"Crusell, Bernhard Henrik",
47,,,,,,,,"Weber, Carl Maria von",
48,pyr_063,016,Concert,18280511,Luzern,BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern",Anonymus,
49,pyr_064,017,Concert,18300423,"Luzern, Marianischer Saal im Jesuitengymnasium",BRb.27.2,"Theater- und Musikliebhabergesellschaft, Luzern","Rossini, Gioachino",
50,,,,,,,,"Weigl, Joseph",
51,,,,,,,,"Beethoven, Ludwig van",
52,,,,,,,,"Haydn, Joseph",
53,,,,,,,,"Mayer, A.",
54,,,,,,,,"Herz, Henri",
55,pyr_065,018,Concert,18310707,Luzern,BRb.27.2,,"Boieldieu, Adrien",
