"BMU DG3-1 F001572"	"bmu_dg3_1_f001572"	"1881-1882"	"1882.04.15"	"1 p. ; 32 cm"	"Genève, Salle de la Réformation"	"Irrévocablement dernier concert donné par les frères Henry et Léopold Ketten"	"Händel, Georg Friedrich {RISM:36552} ; Chopin, Fryderyk Franciszek {RISM:51160} ; Ketten, Henri {RISM:30005443} ; Gounod, Charles-François ; Massé, Victor ; Bizet, Georges ; Liszt, Franz ; Wagner, Richard"	"Ketten, Henri {RISM:30005443} ; Ketten, Léopold ; Ketten (Mme) ; Morel, Marie"		"Compositeur présumé"
"BMU VH1 F002865"	"bmu_vh1_f002865"	"1931-1932"	"1932.06.30"	"2 broch. ; 24 cm"	"Genève, Victoria Hall"	"Hommage à la mémoire d'Albert Thomas : séance solennelle du Conseil d'administration du Bureau international du travail"	"Wagner, Richard {RISM:111172}"	"Barblan, Otto {RISM:5298}"		"Compositeur présumé"
"BMU DG4 F000645"	"bmu_dg4_f000645"	"1871 ?"	"1871.00.00"	"1 p. ; 27 cm"	"Genève, Salle de la Fabrique à Carouge"	"Soirée littéraire et musicale donnée par la société l'Espérance : Au bénéfice des prisonniers français"	"Vuy, Alphonse ; Scribe, Eugène {RISM:146354} ; Labiche ; Martin ; Schubert, Franz {RISM:111603} ; Hainl, G. ; Gounod, Charles-François {RISM:80479} ; Auber, Daniel-François-Esprit {RISM:38000} "	"Société Espérance ; Husson-Morel ; Fontanel, J. ; Michelou, T. ; Bouvard, F. ; Conty, C. "		"Date incertaine"
"BMU VG2-1 F000899"	"bmu_vg2_1_f000899"	"1874-1875?"	"1875.00.00"	"1 p. ; 20 cm"	"Genève, Hôtel national"	"Grand concert"	"Lambye ; Boieldieu, Adrien {RISM:23607} ; Strauß, Johann {RISM:132082} ;  Donizetti, Gaetano {RISM:18064} ; Weber, Carl Maria von {RISM:117485} ; Gungl, Joseph {RISM:93386} ; Meyerbeer, Giacomo {RISM:725} ; Auber, Daniel-François-Esprit {RISM:38000} ; Rossini, Gioachino {RISM:63766} ; Strauß, Johann {RISM:132082} ; Faust"	"Orchestre de la Ville de Genève"		"Date incertaine"
"BMU VG2-1 F000902"	"bmu_vg2_1_f000902"	"1875-1876?"	"1876.00.00"	"1 p. ; 24 cm"	"Genève"	"Concert populaire"	"Meyerbeer, Giacomo {RISM:725} ; Spontini, Gaspare {RISM:149551} ; Pichoz, E. ; Verdi, Giuseppe {RISM:137994} ; Schumann, Robert {RISM:131206} ; Taubert, Wilhelm {RISM:124431} ; Strauß, Josef {RISM:1628392} ; Mendelssohn Bartholdy, Felix {RISM:88790} ; Weber, Carl Maria von {RISM:117485} ; Berlioz, Hector {RISM:13803} ; Beethoven, Ludwig van {RISM:11035}"	"Orchestre de la Ville de Genève"	"Concert populaire"	"Date incertaine"
"BMU DG4 F001346"	"bmu_dg4_f001346"	"1877-1878?"	"1877.00.00"	"1 p. ; 29 cm"	"Genève, Plaine de Plainpalais"	"La vie parisienne"	"Offenbach, Jacques {RISM:111831} ; Meilhac, Henri {RISM:86908} ; Halévy, Ludovic {RISM:40918}"	"Joseph ; Baptiste ; Charles ; Dubout ; Victor ; Sabatier ; Longhi ; Diany (Mlle) ; Spina, Marie ; Armand ; Louise ; Françoise"		"Date incertaine"
"BMU DG3-2 F000705"	"bmu_dg3_2_f000705"	"1887-1888"	"1887.12.25"	"2 p. ; 28 cm"	"Genève, Cathédrale de Saint-Pierre"	"Grand concert de Noël donné par M. Otto Barblan"	"Merkel ; Bach, Johann Sebastian {RISM:2539} ; Mozart, Wolfgang Amadeus {RISM:115324} ; Saint-Saëns, Camille {RISM:76734} ; Barblan, Otto {RISM:5298} ; Mendelssohn Bartholdy, Felix {RISM:88790} ; Thiele"	"Barblan, Otto {RISM:5298} ; Holzmann ; Sillem (Mlle) ; Cartier (Mlle) ; Bron ; Nagy"		"Date incertaine"
"BMU VH1 F000372"	"bmu_vh1_f000372"	"1895-1896"	"1896.06.00"	"7 p. ; 25 cm"	"Genève, Victoria Hall"	"Symphonie en ré mineur"	"Franck, César {RISM:70009}"			"Date incertaine"
"BMU DG4 F001287"	"bmu_dg4_f001287"	"[18--?]"	"1899.00.00"	"2 p. : ill. ; 26x37 cm"	"Genève, Kursaal"	"Concert spectacle"	"Joncières, V. ; Chavagnat ; Varney ; Corbin ; Chillemont ; Zibulka ; Domergue ; Cairannes ; Colo-Bonnet ; Sivry"	"Martelli ; Albret, d' (Mlle) ; Chaillier ; Vaillier"		"Date incertaine"
"BMU DG4 F000792"	"bmu_dg4_f000792"	"[18--?]"	"1899.03.07"	"1 p. ; 22 cm"	"Genève, Casino de Saint-Pierre"	"Quatre séances historiques données par Franz Schörg"	"Brahms, Johannes {RISM:39914} ; Goldmark, C. ; Saint-Saëns, Camille {RISM:76734} "	"Schörg, Franz ; Rehberg, Willy {RISM:39565}"		"Date incertaine"
