"Bach, J. S."	"Bach, Johann Sebastian"
"Bach, J.-S."	"Bach, Johann Sebastian"
"Bartok, Bela"	"Bartók, Béla"
"Van der Elst, Nancy"	"Elst, Nancy van der"
"de Heredia"	"Heredia, de"
"Jacques-Dalcroze, E."	"Jacques-Dalcroze, Emile"
"Kisfaludi, Örs"	"Kisfaludy, Örs"
"Kisfaludy, Eörs"	"Kisfaludy, Örs"
"Fontaine, Jean de la"	"La Fontaine, Jean de"
"Grange, Henry-Louis de la"	"La Grange, Henry-Louis de"
"van Lerberghe"	"Lerberghe, van"
"Lulli"	"Lully"
"Musset, A. de"	"Musset, Alfred de"
"Olivier, Jusle"	"Olivier, Juste"
"Orléans, Ch. d'"	"Orléans, Charles d'"
"Pétrarque, F."	"Petrarca, Francesco"
"Rilke, R.-M."	"Rilke, Rainer Maria"
"Schürch, Georges E."	"Schürch, Georges"
"Vildrac, Ch."	"Vildrac, Charles"
