"Genève, Salle des réunions (Versoix)"	"Versoix, Salle des réunions"
"Genève, Chapelle de Versoix"	"Versoix, Chapelle"
"Inconnu"	"s.l."
"Lucerne, Stadttheater"	"Luzern, Stadttheater"
"Lucerne, Kunsthaus"	"Luzern, Kunsthaus"
"Conservatoire de Lausanne, Studio 233"	"Lausanne, Studio 233 du Conservatoire"
"Conservatoire de Lausanne, Salle des concerts"	"Lausanne, Salle des concerts du Conservatoire"
"Lausanne, Maison du Peuple, Gande salle"	"Lausanne, Maison du Peuple, Grande salle"
"Conservatoire de Lausanne, Grande salle"	"Lausanne, Grande salle du Conservatoire"
"Salle des Amis de l'Instruction"	"Genève, Salle des amis de l'Instruction"
"Genève, Salle de réunions de la nouvelle école des Pâquis"	"Genève, Salle de réunion des Pâquis"
"Genève, Salle de réunion, rue des Eaux-Vives"	"Genève, Salle de réunion des Eaux-Vives"
"Genève, Salle de réunions des Eaux-Vives"	"Genève, Salle de réunion des Eaux-Vives"
"Genève, Salle de [la Réformation?]"	"Genève, Salle de la Réformation"
"Genève, Salle de la ""Comédie"""	"Genève, Salle de la Comédie"
"Salle de la ""Comédie"""	"Genève, Salle de la ""Comédie"""
"Salle de l'Institut"	"Genève, Salle de l'Institut"
"Genève, Grande salle centrale de la Madeleine"	"Genève, Salle centrale, place de la Madeleine, 10"
"Genève, Grande salle centrale, place de la Madeleine"	"Genève, Salle centrale, place de la Madeleine, 10"
"Genève, Grande salle de la Madeleine"	"Genève, Salle centrale, place de la Madeleine, 10"
"Genève, Salle centrale"	"Genève, Salle centrale, place de la Madeleine, 10"
"Genève, Promenade du Lac (Jardin anglais)"	"Genève, Promenade du lac (Jardin anglais)"
"Nouveau théâtre ""Olympia"""	"Genève, Nouveau théâtre ""Olympia"""
"Genève, Lyceum de Suisse"	"Genève, Lyceum suisse"
"Genève, Comédie"	"Genève, La Comédie"
"Genève, Kursaal international"	"Genève, Kursaal"
"Genève, Hôtel National"	"Genève, Hôtel national"
"Genève, Grand Théâtre"	"Genève, Grand théâtre de Genève"
"Genève, Grand Théâtre "	"Genève, Grand théâtre de Genève"
"Genève, Eglise cathédrale de Saint-Pierre"	"Genève, Cathédrale de Saint-Pierre"
"Ateliers de MM. Sautier & Jaeger, place de la Fusterie, 12"	"Genève, Ateliers de MM. Sautier & Jaeger, place de la Fusterie, 12"
"Ateliers de MM G. Dubach & Cie"	"Genève, Ateliers de MM G. Dubach & Cie"
"Genève, Divers lieux sur le canton"	"Genève (canton)"
"Genève, Divers"	"Genève"
"Genève, Salle du [bord déchiré]"	"Genève"
"Genève, Temple de Carouge"	"Carouge, Temple protestant"
"Genève, Stand de Carouge"	"Carouge, Stand"
"Genève, Salle du Bal communal de Carouge"	"Carouge, Salle du Bal communal"
"Genève, Grande salle de la fabrique"	"Carouge, Salle de la Fabrique"
"Genève, Salle de la Fabrique à Carouge"	"Carouge, Salle de la Fabrique"
"Genève, Eglise catholique de Carouge"	"Carouge, Eglise catholique"
