"Bidal, D."	"Bidal, Denise"
"Blaser, P.-A."	"Blaser, Pierre-André"
"Bontems, Jacqueline"	"Bontemps, Jacqueline"
"Boulenaz, Suzanne"	"Boulenaz-Du Pasquier, Suzanne"
"Du Pasquier-Boulenaz, Suzanne"	"Boulenaz-Du Pasquier, Suzanne"
"Budry, stella"	"Budry, Stella"
"Paul Burger"	"Burger, Paul"
"Cassone, Gabriel"	"Cassone, Gabriele"
"de Crousaz, Agnès"	"Crousaz, Agnès de"
"Crousaz, J. de"	"Crousaz, Juliette de"
"Cuenod, Hugues"	"Cuénod, Hugues"
"Daulte, M."	"Daulte, Madeleine"
"Defrancesco, Ed."	"Defrancesco, Edmond"
"Defrancesco, Marnette"	"Defrancesco, Marinette"
"Dénéréaz"	"Denéréaz"
"Gerzabeck"	"Gerzabeck, de"
"Goumaz-Meystre, D."	"Goumaz-Meystre, Delly"
"Haug-Budry, F."	"Haug-Budry, Françoise"
"Haug, Françoise"	"Haug-Budry, Françoise"
"Henneberger, Ch."	"Henneberger, Christiane"
"Jaques, Marecelle"	"Jaques, Marcelle"
"Kawamichi, H."	"Kawamichi-Luyet, Hiroko"
"Kawamichi, Hiroko"	"Kawamichi-Luyet, Hiroko"
"Kazandjian, S."	"Kazandjian, Sivart"
"Kemblinsky, R."	"Kemblinsky, Robert"
"Kemblisky, Robert"	"Kemblinsky, Robert"
"Kemblisnky, Robert"	"Kemblinsky, Robert"
"Koëlla, J."	"Koëlla, Jean"
"Koëlla, M."	"Koëlla, Mirette"
"Linharès, Dagoberto"	"Linhares, Dagoberto"
"Martin-Bogeaud, Yvonne"	"Martin-Borgeaud, Yvonne"
"Martin-Borgeaud, Y."	"Martin-Borgeaud, Yvonne"
"Mexin-Goldenhorn, A. M."	"Mexin-Goldenhorn, Anne-Marie"
"Mexin-Goldenhorn, A.-M."	"Mexin-Goldenhorn, Anne-Marie"
"olivier"	"Olivier"
"Rheberg"	"Rehberg"
"Rochat, M. L."	"Rochat, Marie-Louise"
"Sörensen, Christine"	"Soerensen, Christine"
"Speigelberg, Daniel"	"Spiegelberg, Daniel"
"Troyon-Blaesi"	"Troyon-Blaesi, C."
"Zaza, Franceso"	"Zaza, Francesco"
"Zuber, Magali"	"Zuber-Bourquin, Magali"
