"Zwissig, A."	"Zwyssig, Alberik"
"Zwyssig, J.-A."	"Zwyssig, Alberik"
"Zwyssig, Joseph"	"Zwyssig, Alberik"
"Zwissig"	"Zwyssig"
"Zubriggen, Andreas"	"Zurbriggen, Andreas"
"Zsoff, Nandor"	"Zsolt, Nandor"
"Vasilij Andreevič Zolotarev"	"Zolotarev, Vasilij Andreevič "
"Carl Friedrich Zöllner"	"Zöllner, Carl Friedrich"
"Zöllner, C."	"Zöllner, Carl Friedrich"
"Zoellner"	"Zöllner"
"Zipoli, D."	"Zipoli, Domenico"
"Zippoli, Domenico"	"Zipoli, Domenico"
"Zinka-pana"	"Zinka pana"
"Nicola Antonio Zingarelli"	"Zingarelli, Niccolò Antonio"
"Zieleński, Mikotaj"	"Zieleński, Mikołaj"
"Carl Michael Ziehrer"	"Ziehrer, Carl Michael"
"Zelenski, L."	"Żeleński, Władysław"
"Zeleński, Ladislas"	"Żeleński, Władysław"
"Zelenski, Wl."	"Żeleński, Władysław"
"Zelenka, Jan Disma"	"Zelenka, Jan Dismas"
"Zbinden, J. F."	"Zbinden, Julien-François"
"Zbinden, J.-F."	"Zbinden, Julien-François"
"Zarzicky, Alexander"	"Zarzycki, Aleksander"
"zarzycki, Aleksander"	"Zarzycki, Aleksander"
"Zarzicki"	"Zarzycki"
"Friedrich Wilhelm Zachow"	"Zachow, Friedrich Wilhelm"
"Albert Heinrich Zabel"	"Zabel, Albert Heinrich"
"Yun, Iseng"	"Yun, Isang"
"Ysaÿe, Théo"	"Ysaÿe, Théophile"
"Ysaye, E."	"Ysaÿe, Eugène"
"Ysaye, Eugène"	"Ysaÿe, Eugène"
"Ysaye"	"Ysaÿe"
"Yamada, Kousaku"	"Yamada, Kōsaku"
"Woyrsch, Félix"	"Woyrsch, Felix"
"Wollstedt, R."	"Wollstedt, Robert"
"Hermann Adolf Wollenhaupt"	"Wollenhaupt, Hermann Adolf"
"Viktor von Wolkowsky-Biedau"	"Wolkowsky-Biedau, Viktor von"
"Ernst H. Wolfram"	"Wolfram, Ernst H."
"Erich J. Wolff"	"Wolff, Erich J."
"wolf, Hugo"	"Wolf, Hugo"
"F. O. Wolf"	"Wolf, F. O. "
"Wissmann, R."	"Wissmann, Richard"
"Peter von Winter"	"Winter, Peter von"
"Wilm, Won"	"Wilm, von"
"Nicolai von Wilm"	"Wilm, Nicolai von"
"Nikolai von Wilm"	"Wilm, Nicolai von"
"Wilm, N. v."	"Wilm, Nicolai von"
"Wilm, N. von"	"Wilm, Nicolai von"
"[?], Willton"	"Willton"
"Willmers, Rodolphe"	"Willmers, Heinrich Rudolph"
"Willmers, Rudolf"	"Willmers, Heinrich Rudolph"
"Wilmers, Rodolphe"	"Willmers, Heinrich Rudolph"
"Wilmers"	"Willmers"
"Johann Caspar Willi"	"Willi, Johann Caspar"
"Wilhelmi"	"Wilhelmj"
"Wilhelmy"	"Wilhelmj"
"Wilhel[m?]"	"Wilhelm"
"Wiesner, R."	"Wiesner, Richard"
"J. A. Wiernsberger"	"Wiernsberger, Jules Auguste"
"Wiernsberger, Jean-Jules-Auguste"	"Wiernsberger, Jules Auguste"
"Jean Jules August Wiernsberger"	"Wiernsberger, Jean Jules Auguste"
"Wieniawski, Jozef"	"Wieniawski, Józef"
"Wieniwski, Henryk"	"Wieniawski, Henryk"
"Wieniawsky"	"Wieniawski"
"Wiegand, Edm."	"Wiegand, Edmond"
"Widor, Ch.-M."	"Widor, Charles-Marie"
"Widor, Charles-Marie-Jean-Albert"	"Widor, Charles-Marie"
"Maude Valérie White"	"White, Maude Valérie "
"Felix Harold White"	"White, Felix Harold"
"Christoph Ernst Friedrich Weyse"	"Weyse, Christoph Ernst Friedrich"
"Nicola van Westerhout"	"Westerhout, Nicola van"
"Wesly, Emile"	"Wesly, Émile"
"Werner, A."	"Werner, August"
"Werman, Oscar"	"Wermann, Friedrich Oskar"
"Wermann, Oskar"	"Wermann, Friedrich Oskar"
"Wenzel, De"	"Wenzel, de"
"Silvius Leopold Weiss"	"Weiss, Silvius Leopold"
"Weiss, S. L."	"Weiss, Silvius Leopold"
"Weingoertner"	"Weingartner"
"Weiner, Leo"	"Weiner, Leó"
"Weill, K."	"Weill, Kurt"
"Wehle, Ch."	"Wehle, Charles"
"Weckerlin, Jean-Baptiste"	"Weckerlin, Jean Baptiste"
"Wekerlin, Jean-Baptiste"	"Weckerlin, Jean Baptiste"
"Wekerlin"	"Weckerlin"
"Webern, Anton von"	"Webern, Anton"
"Johann Rudolf Weber"	"Weber, Johann Rudolf"
"Weber, Gust."	"Weber, Gustav"
"Weber, Gustave"	"Weber, Gustav"
"Weber, Ed."	"Weber, Edmond"
