"Vildrac, Ch."	"Vildrac, Charles"
"Schürch, Georges E."	"Schürch, Georges"
"Rilke, R.-M."	"Rilke, Rainer Maria"
"Pétrarque, F."	"Petrarca, Francesco"
"Orléans, Ch. d'"	"Orléans, Charles d'"
"Olivier, Jusle"	"Olivier, Juste"
"Musset, A. de"	"Musset, Alfred de"
"Lulli"	"Lully"
"van Lerberghe"	"Lerberghe, van"
"Grange, Henry-Louis de la"	"La Grange, Henry-Louis de"
"Fontaine, Jean de la"	"La Fontaine, Jean de"
"Kisfaludi, Örs"	"Kisfaludy, Örs"
"Kisfaludy, Eörs"	"Kisfaludy, Örs"
"Jacques-Dalcroze, E."	"Jacques-Dalcroze, Emile"
"de Heredia"	"Heredia, de"
"Van der Elst, Nancy"	"Elst, Nancy van der"
"Bartok, Bela"	"Bartók, Béla"
"Bach, J. S."	"Bach, Johann Sebastian"
"Bach, J.-S."	"Bach, Johann Sebastian"
