"Société de Zofingue"	"Zofingue, Genève"
"Zichy, G."	"Zichy, Géza"
"Z.C."	"Z. C."
"Ysaÿe, Th."	"Ysaÿe, Théophile"
"Ysaye, Théo"	"Ysaÿe, Théophile"
"Ysaÿe, Théo"	"Ysaÿe, Théophile"
"Ysaye, Eugène"	"Ysaÿe, Eugène"
"Wuilleumier, H. (Mlle)"	"Wuilleumier, Hélène"
"Woellhaf,Ilse"	"Woellhaf, Ilse"
"Wittmer, E. (Mlle)"	"Wittmer, Elisa"
"Orchestre philharmonique de Vienne"	"Wiener Philharmoniker, Wien"
"Van de Wiele, Aimée"	"Wiele, Aimée van de"
"Wiegand-Dalwigk (Mme)"	"Wiegand-Dallwigk (Mme)"
"Wettstein, Silvia"	"Wettstein-Levi, Silvia"
"Werner, Aug."	"Werner, August"
"Wend, O."	"Wend, Otto"
"Weingartner, F."	"Weingartner, Felix"
"Weingartner, Félix"	"Weingartner, Felix"
"Wehrli, A."	"Wehrli, Arthur"
"Weber, Witte"	"Weber, Witte Maria"
"Weber, F."	"Weber, Félix"
"Wavre, P."	"Wavre, Pierre"
"Wang En-Shao"	"Wang, Enshao"
"Wallace, G."	"Wallace, Georgette"
"Wachsmuth-Loew, A."	"Wachsmuth-Loew, Andrée"
"De Vries, Esmé"	"Vries, Esmé de"
"Vorwärts"	"Vorwärts, Genève"
"Les Vocalistes du Conservatoire"	"Vocalistes du Conservatoire de Lausanne"
"Villa, C. (Mme)"	"Villa, Clémentine"
"Vigier, B. de"	"Vigier, Berthe de"
"Vigier, B. de (Mme)"	"Vigier, Berthe de"
"Viani, G."	"Viani, Georges"
"Viala, C."	"Viala, Claude"
"Viala-Brandt, Marg."	"Viala-Brandt, Marguerite"
"Vernet-tur-Rettini"	"Vernet-Turrettini"
"Vereinigung Winterthurer Handharmonikaspieler"	"Vereinigung Winterthurer Handharmonikaspieler, Winterthur"
"Verdan, A. (Mlle)"	"Verdan, Adèle"
"De La Vega, Javier"	"Vega, Javier de la"
"Varga, viktor"	"Varga, Viktor"
"Perck, B. van"	"Van Perck, B."
"Valogne, Y. (Mme)"	"Valogne, Yvonne"
"Franco-Suisse"	"Union musicale franco-suisse, Genève"
"Union Musicale Franco-Suisse"	"Union musicale franco-suisse, Genève"
"Union musicale franco-suisse"	"Union musicale franco-suisse, Genève"
"Union Musicale Française"	"Union musicale française, Genève"
"Union instrumentale genevoise"	"Union instrumentale genevoise, Genève"
"Union Instrumentale, Genève"	"Union instrumentale genevoise, Genève"
"Union instrumentale genevoise (Fanfare des Sapeurs-Pompiers)"	"Union instrumentale genevoise (Fanfare municipale des sapeurs-pompiers)"
"Union Instrumentale Genevoise (Fanfare municipale de la Ville de Genève)"	"Union instrumentale genevoise (Fanfare municipale de la Ville de Genève)"
"Union instrumentale genevoise Fanfare municipale de la Ville de Genève"	"Union instrumentale genevoise (Fanfare municipale de la Ville de Genève)"
"Union des Maîtres d'Armes"	"Union des maîtres d'armes, Genève"
"Union des Amis chanteurs de Carouge"	"Union des amis chanteurs de Carouge"
"Union chorale"	"Union chorale, Lausanne"
"Union Chorale de Lausanne"	"Union chorale, Lausanne"
"Union chorale de Lausanne"	"Union chorale, Lausanne"
"Union Chorale du Travail"	"Union chorale du travail"
"Union Chorale de Lyon"	"Union chorale de Lyon"
"Troyon-Blaisi (Mme)"	"Troyon-Blaesi (Mme)"
"Le Trio Hongrois"	"Trio Hongrois"
"Tonkünstler-Orchester de Munich"	"Tonkünstler-Orchester, München"
"Tonkünstler-Orchester de Berlin"	"Tonkünstler-Orchester, Berlin"
"Tindel, R."	"Tindel, Raymond"
"Tinayres, Yves"	"Tinayre, Yves"
"Thomson, C."	"Thomson, César"
"Théâtre prolétarien"	"Théâtre prolétarien, Genève"
"Théâtre de Bouffes parisiens"	"Théâtre des Bouffes parisiens, Paris"
"Théâtre des Bouffes"	"Théâtre des Bouffes parisiens, Paris"
"Théâtre des Bouffes Parisiens"	"Théâtre des Bouffes parisiens, Paris"
"Théâtre des Bouffes parisiens"	"Théâtre des Bouffes parisiens, Paris"
"M, Th."	"Th. M."
"Terzagbi, Ed."	"Terzaghi, Ed."
"Terracina, M. (Mlle)"	"Terracina, Marguerite"
"Teissier, A."	"Teissier, Auguste"
"Teissier, Aug."	"Teissier, Auguste"
"Tédeschi, Ermina"	"Tedeschi, Ermina"
"Tatianof, T."	"Tatianoff, T."
"Talmes, André"	"Talmès, André"
"Szigeti, J."	"Szigeti, Joseph"
"Szigeti, Josef"	"Szigeti, Joseph"
"Szigeti, Jospeh"	"Szigeti, Joseph"
"Suter, N."	"Suter, Nicolas"
"Stuttgarter Madrigal Vereinigung"	"Stuttgarter Madrigal Vereinigung, Stuttgart"
"Studio d'art dramatique"	"Studio d'art dramatique, Genève"
