"Classe d'ensemble et d'accompagnement"	"Séances d'élèves"
"Classe d'ensemble instrumental"	"Séances d'élèves"
"Classe d'ensemble intrumental"	"Séances d'élèves"
"Classes d'ensemble et d'accompagnement"	"Séances d'élèves"
"Classes de piano"	"Séances d'élèves"
"Concert par le groupe d'élèves"	"Séances d'élèves"
"Deux exercices d'élèves de la classe de déclamation"	"Séances d'élèves"
"Deux séances d'élèves"	"Séances d'élèves"
"Deux séances d'élèves de la classe de déclamation"	"Séances d'élèves"
"Deux séances d'élèves de la classe de virtuosité de piano"	"Séances d'élèves"
"Deux séances d'élèves des classes de chant"	"Séances d'élèves"
"Deux séances d'élèves des classes de piano"	"Séances d'élèves"
"Deux séances de la classe de piano"	"Séances d'élèves"
"Deux séances des classes de piano"	"Séances d'élèves"
"Deuxième et troisième exercices d'élèves"	"Séances d'élèves"
"Deuxième et troisième séances d'élèves"	"Séances d'élèves"
"Deuxième et troisième séances d'élèves des classes de piano"	"Séances d'élèves"
"Deuxième exercice d'élèves des classes de piano"	"Séances d'élèves"
"Deuxième séance d'élèves"	"Séances d'élèves"
"Deuxième séance d'élèves de la classe de virtuosité de piano"	"Séances d'élèves"
"Deuxième séance d'élèves des classes de piano"	"Séances d'élèves"
"Deuxième séance d'élèves; séance de sonates pour piano et violon"	"Séances d'élèves"
"Exercice d'élèves"	"Séances d'élèves"
"Exercice de la classe d'orchestre"	"Séances d'élèves"
"Exercice de la classe d'orchestre et de la classe de virtuosité de hautbois"	"Séances d'élèves"
"Exercice de la classe d'orchestre et de la classe de virtuosité de violon"	"Séances d'élèves"
"Exercice de la classe d'orchestre et des classes de harpe et de piano"	"Séances d'élèves"
"Exercice de la classe d'orchestre et des classes de virtuosité de clarinette, chant et piano"	"Séances d'élèves"
"Exercice de la classe de musique de chambre"	"Séances d'élèves"
"Exercice des classes d'orchestre et de virtuosité de piano et violon"	"Séances d'élèves"
"Exercice des classes d'orchestre, de flûte, de violon et de piano"	"Séances d'élèves"
"Exercice des classes de piano"	"Séances d'élèves"
"Exercice des classes de virtuosité de piano et de la classe d'orchestre"	"Séances d'élèves"
"Exercice des classes de virtuosité de piano et violon et de la classe d'orchestre"	"Séances d'élèves"
"Exercice des classes de virtuosité de piano, violon et orgue"	"Séances d'élèves"
"Exercice des élèves de la classe de virtuosité"	"Séances d'élèves"
"Exercice public de la classe normale de piano"	"Séances d'élèves"
"Premier exercice d'élèves"	"Séances d'élèves"
"Première et deuxième séances d'élèves"	"Séances d'élèves"
"Première et deuxième séances d'élèves des classes de piano"	"Séances d'élèves"
"Première séance d'élèves"	"Séances d'élèves"
"Première séance d'élèves de la classe de déclamation"	"Séances d'élèves"
"Première séance d'élèves de la classe de virtuosité"	"Séances d'élèves"
"Première séance d'élèves de la classe de virtuosité de piano"	"Séances d'élèves"
"Première séance d'élèves des classes de piano"	"Séances d'élèves"
"Première séance des classes de piano"	"Séances d'élèves"
"Quatre séances des classes de piano"	"Séances d'élèves"
"Quatrième et cinquième séances d'élèves des classes de piano"	"Séances d'élèves"
"Quatrième séance d'élèves"	"Séances d'élèves"
"Séance d'élèves"	"Séances d'élèves"
"Séance d'élèves de la classe d'orgue de monsieur le professeur Otto Barblan"	"Séances d'élèves"
"Séance d'élèves de la classe de déclamation"	"Séances d'élèves"
"Séance d'élèves de la classe de virtuosité de piano"	"Séances d'élèves"
"Séance d'élèves des classes d'orgue d'Otto Barblan"	"Séances d'élèves"
"Séance d'élèves des classes de chant"	"Séances d'élèves"
"Séance de musique de chambre des classes de piano"	"Séances d'élèves"
"Séance des classes de piano"	"Séances d'élèves"
"Séances de trios et quatuors seconde année"	"Séances d'élèves"
"Seconde séance d'élèves des classes de piano"	"Séances d'élèves"
"Sixième séance d'élèves"	"Séances d'élèves"
"Trois séances d'élèves"	"Séances d'élèves"
"Trois séances d'élèves consacrées à l'audition intégrale des sonates pour piano et violon de Beethoven"	"Séances d'élèves"
"Trois séances de la classe de virtuosité"	"Séances d'élèves"
"Trois séances des classes de piano"	"Séances d'élèves"
"Troisième et quatrième séances d'élèves"	"Séances d'élèves"
"Troisième séance d'élèves"	"Séances d'élèves"
"Troisième séance d'élèves de la classe de virtuosité de piano"	"Séances d'élèves"
"Troisième séance d'élèves des classes de piano"	"Séances d'élèves"
"12 séances de lectures"	"Saisons"
"Beethoven-Cyklus"	"Saisons"
"Cinq concert de la saison 1922-1923"	"Saisons"
"Dix concerts"	"Saisons"
"Dix concerts Marteau"	"Saisons"
"Dix concerts par abonnement (série B)"	"Saisons"
"Dix concerts populaires Marteau"	"Saisons"
"Dix concerts symphoniques"	"Saisons"
"Dix lectures"	"Saisons"
"Dix séances de musique de chambre"	"Saisons"
"Douze concerts d'abonnement"	"Saisons"
"Douze concerts par abonnement"	"Saisons"
"Douze concerts par abonnement (série A)"	"Saisons"
"Douze concerts symphoniques"	"Saisons"
"Huit concerts"	"Saisons"
"Huit concerts de l'orchestre symphonique de Lausanne"	"Saisons"
"Huit conférences"	"Saisons"
"Huit conférences sur Shakespeare"	"Saisons"
"Huit représentations de gala d'opéra italien"	"Saisons"
"Huit séances de musique de chambre"	"Saisons"
"Huit soirées d'abonnement"	"Saisons"
"Jeudis littéraires"	"Saisons"
"Plan général des programmes"	"Saisons"
"Programme des dix concerts d'abonnement"	"Saisons"
"Récitals Gustave Ferrari, saison 1927-1928"	"Saisons"
"Season"	"Saisons"
"Six concerts par abonnement de la série B"	"Saisons"
"Six conférences musicales"	"Saisons"
"Six séances de musique de chambre"	"Saisons"
"Three lectures in english"	"Saisons"
"Trois grands récitals populaires de chant"	"Saisons"
"Trois séances"	"Saisons"
"Palmarès"	"Palmarès"
"Cinquième / Sixième séance de musique de chambre"	"Musique de chambre"
"Cinquième séance de la société de musique de chambre"	"Musique de chambre"
"Cinquième séance de musique de chambre"	"Musique de chambre"
"Deux séances de musique de chambre"	"Musique de chambre"
"Huitième et dernière séance de musique de chambre"	"Musique de chambre"
"Premier concert de musique de chambre"	"Musique de chambre"
"Première séance de musique de chambre"	"Musique de chambre"
"Première séance de musique de chamnre"	"Musique de chambre"
"Première séance familière de musique de chambre"	"Musique de chambre"
"Quatre séances de musique de chambre"	"Musique de chambre"
"Quatrième et dernier concert de musique de chambre"	"Musique de chambre"
"Quatrième et dernière séance de musique de chambre"	"Musique de chambre"
"Quatrième séance de musique de chambre"	"Musique de chambre"
"Séance de musique de chambre"	"Musique de chambre"
"Séance de musique de chambre offerte aux abonnés"	"Musique de chambre"
"Séance supplémentaire de musique de chambre"	"Musique de chambre"
"Seconde séance de musique de chambre"	"Musique de chambre"
"Septième séance de musique de chambre"	"Musique de chambre"
"Sixième et dernière séance de la Société de musique de chambre"	"Musique de chambre"
"Sixième et dernière séance de musique de chambre"	"Musique de chambre"
"Sixième séance de musique de chambre"	"Musique de chambre"
"Trois séances de musique de chambre"	"Musique de chambre"
"Troisième concert de musique de chambre"	"Musique de chambre"
"Troisième et dernier concert de musique de chambre"	"Musique de chambre"
"Troisième et dernière séance de musique de chambre"	"Musique de chambre"
"Troisième séance de musique de chambre"	"Musique de chambre"
"Midi-concerts"	"Midi-concerts"
"Jeudis"	"Jeudis"
"Festival Arthur Honegger"	"Festivals"
"Festival de Genève 1936"	"Festivals"
"Festival Debussy"	"Festivals"
"Festival Richard Wagner"	"Festivals"
"Festival Wagner"	"Festivals"
"Festival Wagner (en dehors de l'abonnement)"	"Festivals"
"Festival Wagner en dehors de l'abonnement"	"Festivals"
"VIIme Festival de la Société internationale de musique contemporaine"	"Festivals"
"Examen de la classe d'accompagnement"	"Examens"
"Examen de la classe d'accompagnement (piano)"	"Examens"
"Examens"	"Examens"
"Examens 1915-1916"	"Examens"
"Examens avec orchestre"	"Examens"
"Examens de la classe de musique instrumentale et d'accompagnement"	"Examens"
"Examens de la classe de virtuosité de chant"	"Examens"
"Examens de la classe de virtuosité de harpe, flûte et violon"	"Examens"
"Examens de la classe de virtuosité de violon"	"Examens"
"Examens de la classe de virtuosité de violon et de la classe de virtuosité de flûte"	"Examens"
"Examens de la classe de virtuosité de violoncelle et de violon"	"Examens"
"Examens des classe de virtuosité de harpe, de flûte, de violoncelle, de violon"	"Examens"
"Examens des classes de virtuosité de chant-piano, orgue-violon, clarinette, trompette"	"Examens"
"Examens des classes de virtuosité de chant-piano, violon-flûte"	"Examens"
"Examens des classes de virtuosité de chant, d'orgue, de piano, de violon et de violoncelle et de la classe normale d'orgue et de piano"	"Examens"
"Examens des classes de virtuosité de chant, piano et violon"	"Examens"
"Examens des classes de virtuosité de chant, piano, flûte, clarinette"	"Examens"
"Examens des classes de virtuosité de clavecin, piano, flûte, hautbois, clarinette"	"Examens"
"Examens des classes de virtuosité de déclamation, piano, chant, flûte"	"Examens"
"Examens des classes de virtuosité de harpe, de flûte, de violoncelle, de violon"	"Examens"
"Examens des classes de virtuosité de piano"	"Examens"
"Examens des classes de virtuosité de piano et de violoncelle et de la classe normale de piano"	"Examens"
"Examens des classes de virtuosité de piano et trompette"	"Examens"
"Examens des classes de virtuosité de piano et violon"	"Examens"
"Examens des classes de virtuosité de piano, clavecin, violon, chant, hautbois"	"Examens"
"Examens des classes de virtuosité de piano, orgue, violon et clarinette"	"Examens"
"Examens des classes de virtuosité de piano, violon et basson"	"Examens"
"Examens des classes de virtuosité de piano, violon, flûte"	"Examens"
"Examens des classes de virtuosité de piano, violon, violoncelle"	"Examens"
